file,usdot,decision,premium,units,unit_premium,rel_product,rules,flags,error
00_established_clean_ia.json,9900001,price,24250.0,3,8000.0,0.694,,,
01_established_clean_tx.json,9900002,price,70726.69,4,17619.17,2.42,,,
02_new_venture_ga.json,9900003,refer,13803.32,1,13553.32,1.8615,R01,,
03_new_venture_ca_2units.json,9900004,price,34375.86,2,17062.93,2.3436,,,
04_owner_op_local_oh.json,9900005,price,8250.0,1,8000.0,0.7003,,,
05_mid_age_fl_one_crash.json,9900006,decline,,2,23662.2,3.25,D22,,
06_high_crash_la.json,9900007,decline,,3,23662.2,3.25,D20;D22;R10,,
07_fatal_plus_one_tx.json,9900008,decline,,2,23662.2,3.25,D21;R10;R11,,
08_conditional_rating_il.json,9900009,refer,87519.69,5,17453.94,2.3973,R03,,
09_unsat_rating_mo.json,9900010,decline,,3,23662.2,3.25,D04;D22;R10,,
10_oos_order_nj.json,9900011,decline,,2,17761.94,2.4396,D03,,
11_stale_mcs150_ky.json,9900012,refer,16698.1,2,8224.05,1.1296,R04,,
12_hazmat_flag_ok.json,9900013,decline,,2,8255.84,1.1339,D11,,
13_six_units_pa.json,9900014,decline,,6,14957.5,2.0544,D10,,
14_private_carrier_wi.json,9900015,decline,,3,8000.0,0.6,D12,,
15_basic_alert_unsafe_az.json,9900016,decline,,4,23662.2,3.25,D24;R10,,
16_basic_elevated_hos_nc.json,9900017,price,24587.83,3,8112.61,1.1143,,,
17_cancelled_insurance_sc.json,9900018,decline,,2,11949.25,1.6412,D23,,
18_more_drivers_than_units_ny.json,9900019,price,34356.56,2,17053.28,2.3423,,,
19_old_trucks_mt.json,9900020,price,19356.38,2,9553.19,1.3121,,,
20_young_driver_nv.json,9900021,price,18662.18,1,18412.18,2.5289,,,
21_intermodal_wa.json,9900022,price,36650.93,3,12133.64,1.6666,,,
22_trailer_vin_submitted_tn.json,9900023,decline,,2,8000.0,1.0023,D30,,
23_unit_mismatch_mi.json,9900024,decline,,2,8000.0,0.9695,D31,,
24_high_mileage_ne.json,9900025,price,16250.0,2,8000.0,1.0301,,,
50_edge_unknown_dot.json,9999999,refer,13803.32,1,13553.32,1.8615,R02,driver_count_missing_use_census;invalid_vin:1FUJGLDR11LLA1234;enrichment_degraded_segment_defaults;authority_age_unknown_assumed_0.5y,
51_edge_missing_usdot.json,,decline,,1,11069.67,1.5204,D01;R05,usdot_missing_or_invalid;units_missing_use_census;radius_missing_default_intermediate;commodity_missing_default_unknown;garaging_state_missing_use_census;units_defaulted_to_1;authority_age_unknown_assumed_0.5y,
52_edge_bad_vins_no_radius.json,9900001,price,16250.0,2,8000.0,0.9587,,usdot_parsed_from_text:USDOT 9900001;driver_count_missing_use_census;invalid_vin:NOTAVIN;invalid_vin:;radius_missing_default_intermediate;commodity_missing_default_unknown;garaging_state_missing_use_census,
53_edge_zero_drivers.json,9900005,refer,8250.0,1,8000.0,0.6,R05,invalid_vin:1FUJGLDR40LLA5555,
54_edge_garbage_types.json,9900001,price,24250.0,3,8000.0,0.8036,,drivers_not_a_list_ignored;driver_count_missing_use_census;units_not_a_list_ignored;units_missing_use_census;radius_miles:200->intermediate_51_200;commodity_missing_default_unknown;garaging_state_missing_use_census;limit_parsed:1m->1000000,
55_edge_not_json.json,,error,,,,,,,unreadable json: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)
