file,usdot,decision,premium,units,unit_premium,rel_product,rules,flags,error
01_broker_export.csv#0,1505735,refer,8250,1,8000,1.0157,R04,"alias:DOT Number->usdot;drivers_given_as_count;units_missing_use_census;radius_missing_default_intermediate;alias:Freight->commodity;alias:State->garaging_state;state_name:TENNESSEE->TN;limit_parsed:1,000,000->1000000",
01_broker_export.csv#1,2878531,decline,,1,8000,0.9236,D25;R07,alias:DOT Number->usdot;drivers_given_as_count;units_missing_use_census;radius_missing_default_intermediate;alias:Freight->commodity;alias:State->garaging_state;limit_parsed:1M->1000000;mcs150_mileage_implausible,
01_broker_export.csv#2,2927302,decline,,1,9454.22,1.3443,D25;R07,alias:DOT Number->usdot;drivers_given_as_count;units_missing_use_census;radius_missing_default_intermediate;alias:Freight->commodity;alias:State->garaging_state;state_name:KANSAS->KS;limit_parsed:750k->750000;mcs150_mileage_implausible,
01_broker_export.csv#3,3541199,price,24250,3,8000,0.8942,,alias:DOT Number->usdot;drivers_given_as_count;units_missing_use_census;radius_missing_default_intermediate;commodity_missing_default_unknown;garaging_state_missing_use_census,
02_nested_array.json#0,3989969,decline,,1,15275.35,2.0981,D25;R04;R07,unwrapped:carrier;usdot_parsed_from_text:USDOT 3989969;alias:num_drivers->driver_count;alias:vins->units;alias:operating_radius->radius;radius_miles:500+->long_haul_500_plus;alias:cargo->commodity;alias:domicile_state->garaging_state;state_name:INDIANA->IN;alias:csl->limit,
02_nested_array.json#1,4180399,price,20084.07,2,9917.03,1.3621,,unwrapped:carrier;alias:dot_number->usdot;alias:power_units->unit_count;units_given_as_count_no_vins;radius_object_unwrapped:150;radius_miles:150->intermediate_51_200;alias:state->garaging_state,
03_feed.jsonl#0,4234940,decline,,1,8000,1.0717,D25;R07,driver_count_missing_use_census;alias:power_units->unit_count;units_given_as_count_no_vins;garaging_state_missing_use_census;1 unparseable line skipped,
03_feed.jsonl#1,,decline,,1,11623.8,1.5965,D01,usdot_missing_or_invalid;driver_count_missing_use_census;alias:power_units->unit_count;units_given_as_count_no_vins;radius_missing_default_intermediate;commodity_missing_default_unknown;garaging_state_missing_use_census;authority_age_unknown_assumed_0.5y;1 unparseable line skipped,
03_feed.jsonl#2,,decline,,2,10356.13,1.4224,D01,usdot_missing_or_invalid;driver_count_missing_use_census;alias:power_units->unit_count;units_given_as_count_no_vins;radius_missing_default_intermediate;garaging_state_missing_use_census;authority_age_unknown_assumed_0.5y;1 unparseable line skipped,
03_feed.jsonl#3,99999999,decline,,1,11623.8,1.5965,D01,driver_count_missing_use_census;alias:power_units->unit_count;units_given_as_count_no_vins;radius_missing_default_intermediate;commodity_missing_default_unknown;garaging_state_missing_use_census;authority_age_unknown_assumed_0.5y;1 unparseable line skipped,
03_feed.jsonl#4,4239469,decline,,1,9510.38,1.3063,D25;R04;R07,drivers_not_a_list_ignored;driver_count_missing_use_census;alias:power_units->unit_count;unit_count_not_numeric_ignored;units_missing_use_census;radius_unparseable:banana->default_intermediate;garaging_state_missing_use_census;limit_not_numeric_default_1m;mcs150_mileage_implausible;1 unparseable line skipped,
04_vin_count_conflict.json,1505735,decline,,4,8000,0.9054,D31;R04,driver_count_missing_use_census;alias:power_units->unit_count;single_vin_string_wrapped;unit_count_4_vs_1_vins_use_max;alias:state->garaging_state,
05_empty.json,,error,,,,,,,unreadable json: Expecting value: line 1 column 1 (char 0)
06_empty_array.json,,error,,,,,,,no submissions in file
