file,usdot,decision,premium,units,unit_premium,rel_product,rules,flags,error
01_excel_export.json,1240222,price,8250.0,1,8000.0,0.9634,,alias:DOT Number->usdot;alias:Carrier Name->submission_id;drivers_given_as_count;alias:Power Units->unit_count;units_given_as_count_no_vins;alias:Operating Radius->radius;radius_miles:300->regional_201_500;alias:Cargo->commodity;alias:State->garaging_state;state_name:IOWA->IA;limit_parsed:1m->1000000,
02_broker_array.json#0,1546699,price,9045.36,1,8795.36,1.208,,alias:power_units->unit_count;units_given_as_count_no_vins;alias:state->garaging_state,
02_broker_array.json#1,3168362,price,53380.03,3,17710.01,2.4325,,alias:dot_number->usdot;alias:num_drivers->driver_count;alias:vins->units;alias:radius_miles->radius;radius_miles:600->long_haul_500_plus;alias:cargo->commodity;alias:garage_state->garaging_state,
02_broker_array.json#2,3962955,price,10105.67,1,9855.67,1.3537,,units_given_as_count_no_vins;alias:operating_radius->radius;alias:freight->commodity;garaging_state_missing_use_census,
03_agency_feed.jsonl#0,4330448,price,16885.96,1,16635.96,2.2849,,alias:power_units->unit_count;units_given_as_count_no_vins;garaging_state_missing_use_census,
03_agency_feed.jsonl#1,4405689,price,9398.49,1,9148.49,1.2565,,alias:dot->usdot;alias:total_drivers->driver_count;alias:trucks->units;radius_miles:45->local_0_50;garaging_state_missing_use_census,
03_agency_feed.jsonl#2,4424190,refer,50296.97,2,25023.48,3.25,R12,alias:n_drivers->driver_count;alias:n_units->unit_count;units_given_as_count_no_vins;alias:cargo_type->commodity;alias:home_state->garaging_state;alias:csl->limit;limit_parsed:2m->2000000;mcs150_mileage_implausible,
04_dot_list.csv#0,1240222,price,8250.0,1,8000.0,0.8377,,alias:dot_number->usdot;alias:power_units->unit_count;units_given_as_count_no_vins;alias:radius_miles->radius;radius_miles:150->intermediate_51_200;alias:cargo->commodity;alias:state->garaging_state;limit_parsed:1000000->1000000,
04_dot_list.csv#1,3194871,refer,118560.98,5,23662.2,3.25,R10,alias:dot_number->usdot;alias:power_units->unit_count;units_given_as_count_no_vins;alias:radius_miles->radius;radius_miles:700->long_haul_500_plus;alias:cargo->commodity;alias:state->garaging_state;limit_parsed:1m->1000000,
04_dot_list.csv#2,4307909,price,8250.0,1,8000.0,0.8377,,alias:dot_number->usdot;alias:power_units->unit_count;units_given_as_count_no_vins;alias:radius_miles->radius;radius_miles:40->local_0_50;alias:cargo->commodity;alias:state->garaging_state;limit_parsed:750k->750000,
04_dot_list.csv#3,9999999999,refer,13803.32,1,13553.32,1.8615,R02,alias:dot_number->usdot;alias:power_units->unit_count;units_given_as_count_no_vins;alias:radius_miles->radius;radius_miles:200->intermediate_51_200;alias:cargo->commodity;alias:state->garaging_state;limit_parsed:1m->1000000;enrichment_degraded_segment_defaults;authority_age_unknown_assumed_0.5y,
05_nested_carrier.json,4145823,price,15439.35,1,15189.35,2.0863,,unwrapped:carrier;driver_count_missing_use_census;alias:vins->units;garaging_state_missing_use_census,
06_dot_only.json,3949739,price,10313.34,1,10063.34,1.3822,,driver_count_missing_use_census;units_missing_use_census;radius_missing_default_intermediate;commodity_missing_default_unknown;garaging_state_missing_use_census;mcs150_mileage_implausible,
07_messy_types.json,4307909,price,13400.96,1,13150.96,1.8063,,alias:us_dot_number->usdot;alias:id->submission_id;usdot_parsed_from_text:USDOT 4307909;driver_count_missing_use_census;units_missing_use_census;radius_object_unwrapped:400;radius_miles:400->regional_201_500;alias:freight->commodity;commodity_list_joined;alias:domicile_state->garaging_state;state_name:TEXAS->TX;limit_split_form_not_offered:1000/1000/1000_priced_as_1m_csl,
08_single_vin_string.json,2890630,price,8535.48,1,8285.48,1.138,,alias:dot->usdot;driver_count_missing_use_census;alias:truck_count->unit_count;single_vin_string_wrapped;alias:radius_miles->radius;radius_miles:500+->long_haul_500_plus;alias:phy_state->garaging_state,
09_broken.json,,error,,,,,,,unreadable json: Expecting property name enclosed in double quotes: line 1 column 3 (char 2)
