file,usdot,decision,premium,units,unit_premium,rel_product,rules,flags,error
1794860.json,1794860,price,9969.23,1,9719.23,1.0421,,alias:power_units->unit_count;units_given_as_count_no_vins,
1894767.json,1894767,decline,,5,8000.0,0.7523,D05,alias:power_units->unit_count;units_given_as_count_no_vins,
2060909.json,2060909,price,40250.0,5,8000.0,1.0803,,alias:power_units->unit_count;units_given_as_count_no_vins,
2276975.json,2276975,price,22194.82,2,10972.41,1.3345,,alias:power_units->unit_count;units_given_as_count_no_vins,
2317038.json,2317038,price,9969.23,1,9719.23,1.1946,,alias:power_units->unit_count;units_given_as_count_no_vins,
3355469.json,3355469,price,10665.56,1,10415.56,1.4306,,alias:power_units->unit_count;units_given_as_count_no_vins,
3452852.json,3452852,price,8250.0,1,8000.0,0.8251,,alias:power_units->unit_count;units_given_as_count_no_vins,
3514251.json,3514251,price,9456.09,1,9206.09,1.2645,,alias:power_units->unit_count;units_given_as_count_no_vins,
3718189.json,3718189,price,8250.0,1,8000.0,0.756,,alias:power_units->unit_count;units_given_as_count_no_vins;mcs150_mileage_implausible,
3817984.json,3817984,price,8250.0,1,8000.0,0.8377,,alias:power_units->unit_count;units_given_as_count_no_vins;mcs150_mileage_implausible,
3829978.json,3829978,price,8447.05,1,8197.05,1.1259,,alias:power_units->unit_count;units_given_as_count_no_vins,
3846005.json,3846005,price,8250.0,1,8000.0,1.0425,,alias:power_units->unit_count;units_given_as_count_no_vins,
4106126.json,4106126,price,9288.71,1,9038.71,1.2415,,alias:power_units->unit_count;units_given_as_count_no_vins;mcs150_mileage_implausible,
4266914.json,4266914,price,16250.0,2,8000.0,0.7527,,alias:power_units->unit_count;units_given_as_count_no_vins,
4270953.json,4270953,price,12583.52,1,12333.52,1.694,,alias:power_units->unit_count;units_given_as_count_no_vins,
4291367.json,4291367,price,28211.24,2,13980.62,1.9202,,alias:power_units->unit_count;units_given_as_count_no_vins,
4320012.json,4320012,price,12677.65,1,12427.65,1.7069,,alias:power_units->unit_count;units_given_as_count_no_vins,
4320408.json,4320408,price,8250.0,1,8000.0,0.8982,,alias:power_units->unit_count;units_given_as_count_no_vins,
4338941.json,4338941,price,8250.0,1,8000.0,0.9356,,alias:power_units->unit_count;units_given_as_count_no_vins,
4341494.json,4341494,price,45534.49,3,15094.83,2.0733,,alias:power_units->unit_count;units_given_as_count_no_vins,
4347233.json,4347233,price,16537.7,1,16287.7,2.2371,,alias:power_units->unit_count;units_given_as_count_no_vins,
4354364.json,4354364,price,10606.85,1,10356.85,1.4225,,alias:power_units->unit_count;units_given_as_count_no_vins;mcs150_mileage_implausible,
4359200.json,4359200,price,8250.0,1,8000.0,0.8796,,alias:power_units->unit_count;units_given_as_count_no_vins,
4401899.json,4401899,price,13400.96,1,13150.96,1.8063,,alias:power_units->unit_count;units_given_as_count_no_vins,
4458605.json,4458605,price,11151.95,1,10901.95,1.4974,,alias:power_units->unit_count;units_given_as_count_no_vins;mcs150_mileage_implausible,
4469425.json,4469425,price,9105.74,1,8855.74,1.2163,,alias:power_units->unit_count;units_given_as_count_no_vins;mcs150_mileage_implausible,
4469486.json,4469486,price,13237.49,1,12987.49,1.7838,,alias:power_units->unit_count;units_given_as_count_no_vins,
4474195.json,4474195,price,10192.58,1,9942.58,1.3656,,alias:power_units->unit_count;units_given_as_count_no_vins,
4479940.json,4479940,price,33935.9,3,11228.63,1.5423,,alias:power_units->unit_count;units_given_as_count_no_vins,
4490648.json,4490648,price,10313.34,1,10063.34,1.3822,,alias:power_units->unit_count;units_given_as_count_no_vins,
4499080.json,4499080,price,12481.87,1,12231.87,1.68,,alias:power_units->unit_count;units_given_as_count_no_vins,
4509745.json,4509745,price,8250.0,1,8000.0,1.0449,,alias:power_units->unit_count;units_given_as_count_no_vins,
4512700.json,4512700,price,11552.25,1,11302.25,1.5524,,alias:power_units->unit_count;units_given_as_count_no_vins,
4525882.json,4525882,price,12401.48,1,12151.48,1.669,,alias:power_units->unit_count;units_given_as_count_no_vins;mcs150_mileage_implausible,
4541218.json,4541218,price,10313.34,1,10063.34,1.3822,,alias:power_units->unit_count;units_given_as_count_no_vins;mcs150_mileage_implausible,
712916.json,712916,price,24705.4,3,8151.8,1.1196,,alias:power_units->unit_count;units_given_as_count_no_vins,
920691.json,920691,price,12143.04,1,11893.04,1.6335,,alias:power_units->unit_count;units_given_as_count_no_vins,
948782.json,948782,price,16250.0,2,8000.0,0.9134,,alias:power_units->unit_count;units_given_as_count_no_vins,
