file,usdot,decision,premium,units,unit_premium,rel_product,rules,flags,error
1022473.json,1022473,decline,,1,8000,1.0688,D25;R07,units_missing_use_census,
1240222.json,1240222,price,8895.8,1,8645.8,1.1875,,units_missing_use_census,
1270333.json,1270333,decline,,4,8000,0.923,D05,units_missing_use_census,
1546699.json,1546699,price,10640.09,1,10390.09,1.4271,,units_missing_use_census,
2890630.json,2890630,price,8250,1,8000,1.0688,,units_missing_use_census,
2905450.json,2905450,decline,,1,8000,1.0717,D05,units_missing_use_census,
3168362.json,3168362,price,24858.74,3,8202.91,1.1267,,units_missing_use_census,
3194871.json,3194871,price,73615.81,5,14673.16,2.0154,,units_missing_use_census,
3587351.json,3587351,decline,,1,12017.32,1.6506,D22;D25;R04;R07,units_missing_use_census,
3949739.json,3949739,price,8895.8,1,8645.8,1.1875,,units_missing_use_census;mcs150_mileage_implausible,
3962955.json,3962955,price,9120.59,1,8870.59,1.2184,,units_missing_use_census,
3987512.json,3987512,decline,,1,8000,1.0688,D25;R07,units_missing_use_census,
4109734.json,4109734,decline,,1,9337.47,1.2825,D25;R04;R07,units_missing_use_census;mcs150_mileage_implausible,
4145823.json,4145823,price,11057.25,1,10807.25,1.4844,,units_missing_use_census,
4261614.json,4261614,refer,14839.79,1,14589.79,2.0039,R04;R07,units_missing_use_census,
4307909.json,4307909,price,8250,1,8000,0.9896,,units_missing_use_census,
4328287.json,4328287,refer,11057.25,1,10807.25,1.4844,R07,units_missing_use_census,
4330448.json,4330448,price,13921.18,1,13671.18,1.8777,,units_missing_use_census,
4363612.json,4363612,decline,,1,13509.07,1.8555,D02;D03;D05,units_missing_use_census,
4371877.json,4371877,refer,11057.25,1,10807.25,1.4844,R07,units_missing_use_census,
4405689.json,4405689,price,11057.25,1,10807.25,1.4844,,units_missing_use_census,
4409084.json,4409084,decline,,1,8000,0.9896,D02;D03;D05;D25;R07,units_missing_use_census,
4424190.json,4424190,price,33295.48,2,16522.74,2.2694,,units_missing_use_census;mcs150_mileage_implausible,
4430007.json,4430007,refer,11057.25,1,10807.25,1.4844,R07,units_missing_use_census,
4430983.json,4430983,decline,,5,12549.41,1.7237,D22,units_missing_use_census,
4451621.json,4451621,refer,11057.25,1,10807.25,1.4844,R07,units_missing_use_census,
4458228.json,4458228,decline,,1,12644.49,1.7367,D22,units_missing_use_census,
4458764.json,4458764,refer,19314.7,2,9532.35,1.3093,R07,units_missing_use_census,
4465489.json,4465489,decline,,1,10807.25,1.4844,D02;D03;D05,units_missing_use_census,
4468054.json,4468054,refer,9760.38,1,9510.38,1.3062,R07,units_missing_use_census,
4491235.json,4491235,price,16068.62,1,15818.62,2.1727,,units_missing_use_census,
4502893.json,4502893,refer,13058.6,1,12808.6,1.7593,R07,units_missing_use_census,
4512584.json,4512584,price,13058.6,1,12808.6,1.7593,,units_missing_use_census,
4529032.json,4529032,refer,13058.6,1,12808.6,1.7593,R07,units_missing_use_census,
4546358.json,4546358,refer,13058.6,1,12808.6,1.7593,R07,units_missing_use_census,
4570337.json,4570337,price,16068.62,1,15818.62,2.1727,,units_missing_use_census,
4576405.json,4576405,refer,13058.6,1,12808.6,1.7593,R01;R07,units_missing_use_census;mcs150_mileage_implausible,
4634703.json,4634703,refer,13058.6,1,12808.6,1.7593,R01;R09,units_missing_use_census;operation_classification_missing,
5509576.json,5509576,refer,13058.6,1,12808.6,1.7593,R01;R09,units_missing_use_census;operation_classification_missing;mcs150_mileage_implausible,
6458144.json,6458144,refer,16260.75,1,16010.75,2.1991,R01;R09,units_missing_use_census;operation_classification_missing,
686496.json,686496,price,8250,1,8000,1.0717,,units_missing_use_census;mcs150_mileage_implausible,
7253952.json,7253952,refer,16260.75,1,16010.75,2.1991,R01;R09,units_missing_use_census;operation_classification_missing,
726380.json,726380,price,40250,5,8000,0.6,,units_missing_use_census,
8877502.json,8877502,refer,14339.46,1,14089.46,1.9352,R09,units_missing_use_census;operation_classification_missing,
9649055.json,9649055,refer,13058.6,1,12808.6,1.7593,R01;R09,units_missing_use_census;operation_classification_missing,
