state,unit_years,crashes,fatal,inj,crash_rate,fatal_share
AB,5686.373716632444,111.0,2.0,30.0,0.019520349089144264,0.018018018018018018
AG,125.03559206023272,0.0,0.0,0.0,0.0,
AK,781.9425051334703,4.0,1.0,1.0,0.005115465617663587,0.25
AL,19550.93976728268,729.0,21.0,229.0,0.03728721016367395,0.02880658436213992
AR,11968.45106091718,473.0,12.0,161.0,0.03952056933620887,0.02536997885835095
AZ,24543.27241615332,752.0,26.0,230.0,0.030639760959710743,0.034574468085106384
BC,4899.405201916496,104.0,2.0,34.0,0.02122706649356506,0.019230769230769232
BN,1728.3052703627652,8.0,0.0,5.0,0.004628811898676226,0.0
BS,27.88227241615332,0.0,0.0,0.0,0.0,
CA,196466.75701574265,7893.0,223.0,2571.0,0.04017473551196014,0.028252882300772837
CH,1121.4893908282,2.0,0.0,1.0,0.0017833427728844013,0.0
CI,4021.1752224503766,14.0,0.0,8.0,0.0034815692491681188,0.0
CL,47.83093771389459,0.0,0.0,0.0,0.0,
CO,22160.247775496235,654.0,24.0,228.0,0.029512305395933462,0.03669724770642202
CS,9.0,0.0,0.0,0.0,0.0,
CT,13571.329226557153,395.0,7.0,168.0,0.02910547621430047,0.017721518987341773
DC,415.82477754962355,2.0,0.0,0.0,0.0048097181985778245,0.0
DE,5615.659822039699,224.0,5.0,82.0,0.03988845604943349,0.022321428571428572
DF,159.47091033538672,0.0,0.0,0.0,0.0,
DG,44.52429842573579,0.0,0.0,0.0,0.0,
FL,76398.75633127995,3387.0,91.0,1193.0,0.044333182405657305,0.026867434307646886
GA,62885.10198494182,2670.0,66.0,907.0,0.0424583870538899,0.024719101123595506
GE,53.073237508555785,1.0,0.0,0.0,0.018841888057776632,0.0
GJ,788.1622176591376,1.0,0.0,1.0,0.0012687743431422356,0.0
GU,12.265571526351813,0.0,0.0,0.0,0.0,
HD,57.84804928131417,0.0,0.0,0.0,0.0,
HI,257.3141683778234,4.0,0.0,2.0,0.015545199182839631,0.0
HN,3.0,0.0,0.0,0.0,0.0,
IA,26103.948665297743,764.0,22.0,233.0,0.029267602759871034,0.028795811518324606
ID,14014.281314168378,344.0,13.0,121.0,0.024546388950549856,0.0377906976744186
IL,80568.16358658453,3485.0,82.0,1151.0,0.04325529892778008,0.023529411764705882
IN,42945.20191649555,2199.0,55.0,674.0,0.05120478893720951,0.02501136880400182
JA,422.6495550992471,2.0,0.0,2.0,0.004732052774858257,0.0
KS,17621.96646132786,615.0,9.0,179.0,0.034899623793385556,0.014634146341463415
KY,18110.80013689254,619.0,21.0,220.0,0.034178500967445846,0.033925686591276254
LA,10671.388090349075,413.0,11.0,145.0,0.03870161936791582,0.026634382566585957
MA,21334.14647501711,687.0,4.0,243.0,0.032201897591942405,0.005822416302765648
MB,1686.5660506502395,19.0,1.0,6.0,0.011265494163525187,0.05263157894736842
MC,406.01505817932923,0.0,0.0,0.0,0.0,
MD,32348.921971252566,1206.0,25.0,407.0,0.037280995053613625,0.020729684908789386
ME,4304.077344284737,151.0,3.0,63.0,0.03508301266948854,0.019867549668874173
MI,28138.744010951403,1202.0,28.0,309.0,0.042716903054812606,0.02329450915141431
MN,35456.48528405202,1391.0,46.0,409.0,0.03923118687191644,0.03306973400431344
MO,29415.97056810404,1231.0,32.0,397.0,0.04184801576238938,0.025995125913891144
MR,8.53388090349076,0.0,0.0,0.0,0.0,
MS,16202.200547570157,582.0,23.0,231.0,0.035921046544957286,0.03951890034364261
MT,7268.592744695414,142.0,5.0,38.0,0.01953610622959045,0.035211267605633804
MX,493.9075975359343,4.0,0.0,2.0,0.008098680846287204,0.0
NB,709.0225872689938,17.0,1.0,9.0,0.02397666915729784,0.058823529411764705
NC,54717.681724846,2311.0,67.0,903.0,0.042234976467408154,0.028991778450887063
ND,8452.572895277208,190.0,8.0,57.0,0.02247836278420747,0.042105263157894736
NE,18341.894592744695,512.0,25.0,165.0,0.027914237398492428,0.048828125
NH,5005.428473648186,107.0,2.0,38.0,0.02137679133031612,0.018691588785046728
