,relativity,se_log,relativity_se,p
Intercept,0.038977045682620864,0.01601397754146853,0.0006241775341942834,0.0
fleet[T.1],1.1755547515257483,0.010970853573613045,0.01289683904675405,3.427257703542947e-49
auth_bucket[T.1-3y],0.6620700026713704,0.015464543110531026,0.010238610098500798,1.1545708464688365e-156
auth_bucket[T.<1y],0.4106971527378974,0.04004131206692232,0.01644485285777461,1.9897113348748414e-109
state[T.AB],0.5334061630715059,0.11815879646969965,0.06302663025804948,1.0440964834811555e-07
state[T.AG],1.627774269266276e-11,69589.07171524968,1.1327530036020901e-06,0.9997151790226386
state[T.AK],0.14308169713248092,0.5155295700729732,0.07376284580801924,0.0001622442678441592
state[T.AL],0.9559547205429643,0.04988797048003761,0.04769064087870001,0.36656958720277233
state[T.AR],0.9884063822056124,0.062476253917062116,0.061751928107922585,0.8519331160827434
state[T.AZ],0.7871262890972429,0.04739789249200779,0.03730812722826417,4.414580221288124e-07
state[T.BC],0.523183549905823,0.12534072806768307,0.06557620705823086,2.359866577660009e-07
state[T.BN],0.11344787801736732,0.37357113946379367,0.04238085306069738,5.678407321792849e-09
state[T.BS],1.8275653606470823e-11,134197.68837480881,2.452550467527122e-06,0.9998529925812057
state[T.CH],0.04621820252406064,0.7309442101789559,0.03378292753984053,2.5988271666485693e-05
state[T.CI],0.0897886721336473,0.28122697787269424,0.02525099691134783,1.0290744878712662e-17
state[T.CL],9.241875298612083e-12,147604.9595497185,1.3641466296151791e-06,0.9998626599441459
state[T.CO],0.7762584988111015,0.05054427244279129,0.039235421049940496,5.419053457183024e-07
state[T.CS],8.008049838786388e-12,361879.2267849398,2.89794688371528e-06,0.9999436651598961
state[T.CT],0.766459331584289,0.06372055730118778,0.04883921575724677,2.9921456789618877e-05
state[T.DC],0.13206637338428703,0.7409821605831016,0.09785882669066363,0.006292860988833574
state[T.DE],1.0124827041798916,0.08885744245384766,0.08996662362218079,0.8889676943562145
state[T.DF],1.5103990420727205e-11,64762.57615412765,9.781733298535601e-07,0.9996930304199085
state[T.DG],1.3600014979706758e-11,124567.69259041712,1.6941224852171794e-06,0.9998397350923891
state[T.FL],1.1369744456650817,0.02678778572534049,0.030457027825663993,1.6501415017086623e-06
state[T.GA],1.0647387208378134,0.029186314295718788,0.03107579894919401,0.03161255043934613
state[T.GE],0.48986492656481545,1.2424368567148762,0.608626239576053,0.5657135676261821
state[T.GJ],0.03422513392431978,1.0126932627942777,0.03465956254339052,0.0008607109034713144
state[T.GU],8.875137611025912e-12,361880.2625697426,3.2117371290206553e-06,0.9999438919921886
state[T.HD],1.1940576550323479e-11,119051.53376571086,1.421543952362891e-06,0.9998314372220529
state[T.HI],0.47585992356019624,0.5737499754532713,0.2730246194618582,0.19554547637223973
state[T.HN],2.043640686208748e-11,361879.4954881401,7.395516604842582e-06,0.999945730846976
state[T.IA],0.7519689622783794,0.04778801012945915,0.03593510038639808,2.444851974924285e-09
state[T.ID],0.64181790708815,0.06733818539160183,0.043218853215151724,4.5358239928422825e-11
state[T.IL],1.1661015415663827,0.02719021613472862,0.03170655295023018,1.5903112049207723e-08
state[T.IN],1.3510830837237722,0.033238720273041256,0.04490827268553244,1.3923058949704716e-19
state[T.JA],0.12407081861625588,0.7617742593439135,0.09451395595759136,0.0061527265998541115
state[T.KS],0.9110185748546596,0.05483672835892399,0.04995727811923903,0.08923540845367421
state[T.KY],0.8826953931272151,0.054414756112943066,0.04803165453903581,0.021845814648404502
