,relativity,se_log,relativity_se,p
Intercept,0.03532957625345331,0.017060108804161204,0.0006027264148888234,0.0
fleet[T.1],1.2239853028592975,0.011759839190391586,0.01439387033302808,3.3433016877941106e-66
auth_bucket[T.1-3y],0.9023999979411917,0.01868801654116893,0.0168640660882758,3.899115755022448e-08
auth_bucket[T.<1y],0.5960097207884031,0.09447089070308032,0.056305569190574646,4.30500814203449e-08
state[T.AB],0.5614754029979776,0.1251969901868657,0.07029503051930426,4.0221767063613834e-06
state[T.AG],4.095401690803207e-11,46601.024491801116,1.9084991449688396e-06,0.999590475572993
state[T.AK],0.11993601522255515,0.5960547018671359,0.07148842579661238,0.0003736075810312234
state[T.AL],0.9827699955699131,0.053712359349185945,0.05278689515964905,0.7462571157344899
state[T.AR],0.9538653775895045,0.06793903352653326,0.06480469186785265,0.4869159993897868
state[T.AZ],0.8092635985919528,0.050647044707285746,0.04098680965786558,2.9338945360024894e-05
state[T.BC],0.529601612169265,0.13412856652952834,0.07103470507199074,2.148153824607254e-06
state[T.BN],0.10760718338812451,0.40027299805182265,0.043072249906676886,2.5566408839505418e-08
state[T.BS],5.956833828645173e-11,76899.70621283355,4.580787713814823e-06,0.999755716731765
state[T.CH],0.051652556324102254,0.7338535010112139,0.037905409294621356,5.3935422410300685e-05
state[T.CI],0.08514535017218591,0.3035550616901931,0.02584630202415099,4.851769466614222e-16
state[T.CL],2.3397843976196444e-11,100642.23672553657,2.354811352319532e-06,0.9998059371521076
state[T.CO],0.7767705949142661,0.05429694955670576,0.042176273809192234,3.281205710638736e-06
state[T.CS],2.7096710910770696e-11,206611.51132499022,5.5984923932106856e-06,0.9999060371089542
state[T.CT],0.7828980842162155,0.06871822739687743,0.053799368579749596,0.0003684808466196379
state[T.DC],0.18572861886357098,0.7545620862427335,0.14014377412467763,0.025677556810908133
state[T.DE],1.003468257248059,0.09766079456991641,0.09799950732853474,0.9717194332129029
state[T.DF],4.1930802645255196e-11,42147.27939637824,1.7672692544039664e-06,0.999547646938043
state[T.DG],3.8270232461377595e-11,79220.83293345355,3.0317996921472254e-06,0.9997584178765813
state[T.FL],1.1635003208292443,0.028975172910245973,0.033712622977154015,1.7293461319605565e-07
state[T.GA],1.0798260257694616,0.0315317835004915,0.03404884046275882,0.014865643209623315
state[T.GE],0.5444854345978064,1.2516252171642848,0.6814917003212694,0.6271800428357885
state[T.GJ],0.038330482924667425,1.0142964981889333,0.038878474604380875,0.0013019986774917896
state[T.HD],3.832263921484149e-11,68899.22679255987,2.6404002105528125e-06,0.9997222429630833
state[T.HI],0.4161310645020134,0.6877086746423472,0.2861769428461887,0.20234709951049468
state[T.IA],0.7325488329886761,0.05095084695006946,0.037323983473058035,1.0067051421160273e-09
state[T.ID],0.5978986065169316,0.07323856811198162,0.04378923781744919,2.1758709145656548e-12
state[T.IL],1.1984984979807038,0.02907092193156623,0.03484145626989643,4.707893310208972e-10
state[T.IN],1.350422656292079,0.03581688231534955,0.04836792935639513,4.961741390637001e-17
state[T.JA],0.07265787652025286,1.0398997065077393,0.07555690446888652,0.011689197466049192
state[T.KS],0.9161226181898329,0.05791685029337802,0.05305893652807806,0.13038114998708492
state[T.KY],0.8755689445432835,0.059125336868104963,0.05176830879737275,0.024611127937770035
state[T.LA],0.9739090813601474,0.07167955778706867,0.06980937227670564,0.7122569999715636
state[T.MA],0.8781633997732523,0.054249606059681016,0.04764001849372911,0.016624717722623274
state[T.MB],0.29885318264945016,0.27626435502377505,0.0825624817514528,1.231643847534667e-05
state[T.MC],4.082220194227141e-11,25820.984251173937,1.0540694334496322e-06,0.999260801679947
state[T.MD],0.9582166047925875,0.04321745114082197,0.04141167929994796,0.3233500511583792
state[T.ME],0.835557943791578,0.11630107672506373,0.0971762885291408,0.12240780081880336
state[T.MI],1.1006443557974297,0.04523578714042536,0.04978851379616312,0.03401365683208612
state[T.MN],0.9943495123897231,0.041502312511704255,0.04126780420905903,0.891398476292602
state[T.MO],1.058539776974238,0.044053876402627236,0.046632780502087676,0.19657119801183032
state[T.MR],4.868356081206826e-11,206611.51388523795,1.0058584200705468e-05,0.9999082998288773
state[T.MS],0.9252702377203699,0.059501315941737326,0.055054796746086127,0.19177717077912726
state[T.MT],0.5098444236200597,0.10499642689761685,0.053531842753781186,1.3996639775141861e-10
state[T.MX],0.24260046751773215,0.5578950446584668,0.13534559865997012,0.01112587998695171
state[T.NB],0.6761192343818238,0.31380977096673435,0.21217282208756388,0.2123214979589576
state[T.NC],1.0701047922403122,0.03359785982534472,0.035953230808119636,0.04372752475254978
state[T.ND],0.5232968373614849,0.09761374820253142,0.051080965717385025,3.258758827903705e-11
state[T.NE],0.7055170413475012,0.06054751061777184,0.0427173005520068,8.353406816787312e-09
state[T.NH],0.5940188569608554,0.12391319827580573,0.07360677640215796,2.630528177984315e-05
state[T.NJ],1.2605205247227504,0.033734219461613084,0.04252267601686494,6.73340729321391e-12
state[T.NL],0.030714440827424975,0.5884652121342279,0.018074379937094827,3.242506170841296e-09
state[T.NM],0.5070172812062779,0.08680426462553836,0.044011262247550746,5.092016820148835e-15
state[T.NS],0.22011760215848059,0.5752561907040336,0.1266240133245935,0.008509298839101252
state[T.NT],6.641403956293217e-11,206611.92056475728,1.372193226656119e-05,0.9999094993431792
state[T.NV],0.8738376195553162,0.0686000460343112,0.059945300928007615,0.04931036506359511
state[T.NY],0.7798235965620829,0.04854817381063144,0.037859011507527726,3.015268194665569e-07
state[T.OH],1.1862289630829081,0.031732814686248126,0.03764238386097019,7.374887448310941e-08
