assumption,delta_low,delta_high,low_value,high_value
Crash rate / unit-yr,-4807.780000000001,5876.17,0.04,0.09
Crash->claim ratio,-3338.74,4451.65,0.9,1.6
Injury mean severity,-2587.800000000001,3613.76,90000,220000
Expense ratio,-953.9200000000001,1874.3799999999992,0.17,0.3
Fatal share of crashes,-881.7200000000012,1889.4099999999999,0.008,0.03
Severity trend p.a.,-916.6100000000006,1128.2299999999996,0.03,0.14
Fatal tail alpha (lower=fatter),187.3799999999992,-258.40999999999985,1.3,2.2
New-venture factor (<1y),0.0,0.0,1.3,2.2
High-venue factor,0.0,0.0,1.15,1.7
Minimum premium / unit,0.0,0.0,5000,9000
